name,img_url,region,dday,applicants,지원금,모집상태,collected_at
"2025 전북 생태관광 숲속 결혼식 참가자 모집 (예비, 노년 부부)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2736%2F1752395190188.jpg&w=3840&q=60,전북 정읍시,,1.0,전액 지원,,2025-07-21 17:22:40
"쉴곳살곳 산청곳곳 한 달 여행하기 2차 (2025년 경남 한달살기, 선착순)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2715%2F1752160604931.jpg&w=3840&q=60,경남 산청군,,121.0,"￦2,270,000/지원",,2025-07-21 17:22:40
넷플릭스 '유재석 캠프' 숙박객 공개 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2744%2F1752480487630.jpg&w=3840&q=60,전국,,495.0,숙박 및 방송참여 지원,,2025-07-21 17:22:40
"당진 삼선산수목원 가족 목공 체험, 나무랑 놀자 (선착순)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2743%2F1752460049242.jpg&w=3840&q=60,충남 당진시,,22.0,"체험비, 재료비",,2025-07-21 17:22:40
이번 여름 마지막! 외국인 친구들과 6박7일 김제 K로컬살기 3기,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2747%2F1752482225073.jpg&w=3840&q=60,전북 김제시,,49.0,전액 지원,,2025-07-21 17:22:40
2025 동해시 나의 동해 여행 답사기 공모전,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2289%2F1746502290441.jpg&w=3840&q=60,강원 동해시,,39.0,"￦500,000/지원",,2025-07-21 17:22:40
"경북동해안 울진 아이와 부모가 함께하는 2박3일 가족캠프, 지오캠프 (선착순 - 조기 모집종료)",https://www.monthler.kr/images/icon_early_end.png,경북 울진군,,22.0,체험·숙박 할인,,2025-07-21 17:22:40
전주 전통한지 제조 체험,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2614%2F1750931260587.jpg&w=3840&q=60,전북 전주시,,158.0,전액 지원,,2025-07-21 17:22:40
모여라 '정읍' 1박2일 청춘 시티스테이 (선착순- 조기 모집종료),https://www.monthler.kr/images/icon_early_end.png,전북 정읍시,,138.0,전액 지원,,2025-07-21 17:22:40
완도에서 한 달 여행하기 2차 참가자 모집 (남도 일주일살기 2025),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2741%2F1752459448518.jpg&w=3840&q=60,전남 완도군,,81.0,"￦920,000/지원",,2025-07-21 17:22:40
경주 토함산자연휴양림·오류캠핑장 체험단 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2727%2F1752454268927.jpg&w=3840&q=60,경북 경주시,,136.0,숙박 및 기념품 지원,,2025-07-21 17:22:40
밀양 계곡에서 맞이하는 동화같은 여름 <7월 연결-트립>,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2713%2F1752136977678.jpg&w=3840&q=60,경남 밀양시,,55.0,당일 숙박 시 최대 5만원 실비 지원,,2025-07-21 17:22:40
국내체류 재외동포 청소년 3박4일 역사문화캠프,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2720%2F1752452634649.jpg&w=3840&q=60,전국,,2.0,전액 지원,,2025-07-21 17:22:40
"동인천 2박3일 로컬라이프 여행 할래요? 체험단 모집 (오디너리 동인천, 릴스촬영)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2712%2F1752191716725.jpg&w=3840&q=60,인천,,27.0,동인천 여행상품 2박 3일 체험권 (총 20만원 상당),,2025-07-21 17:22:40
2025 세종 미혼남녀 만남행사 '세종연결 : 연애부터 결혼까지',https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2665%2F1751630560194.jpg&w=3840&q=60,세종,,14.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
여수 여자만마을 살아보기 2기 (농촌 살아보기),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2608%2F1752023678916.jpg&w=3840&q=60,전남 여수시,,60.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
제27회 영월 동강뗏목축제 뗏목만들기 참가자 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2648%2F1751278090192.jpg&w=3840&q=60,강원 영월군,,13.0,"￦5,000,000/지원",,2025-07-21 17:22:40
